Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A320 and A20N near Coimbatore on Jul 10th 2018, near collision",A320,VT-IFP,6E-779,Jul 10th 2018,Coimbatore,Coimbatore,Hyderabad,near collision,Incident,"Jul 12, 2018","An Indigo Airbus A320-200, registration VT-IFP performing flight 6E-779 from Coimbatore to Hyderabad (India) with 162 people on board, was climbing…"
"Indigo A320 at Kolkata on Jun 24th 2018, cracked windshield",A320,VT-IDW,6E-345,Jun 24th 2018,Kolkata,Kolkata,Bangalore,cracked windshield,Incident,"Jun 24, 2018","An Indigo Airbus A320-200, registration VT-IDW performing flight 6E-345 from Kolkata to Bangalore (India) with 178 people on board, was climbing out…"
"Indigo A320 at Ahmedabad on Jun 19th 2018, bird strike",A320,VT-IEE,6E-125,Jun 19th 2018,Ahmedabad,Ahmedabad,Kolkata,bird strike,Incident,"Jun 19, 2018","An Indigo Airbus A320-200, registration VT-IEE performing flight 6E-125 from Ahmedabad to Kolkata (India) with 173 people on board, was climbing out…"
"Indigo A320 at Lucknow on May 18th 2018, rejected takeoff due to engine fault",A320,VT-IEI,6E-685,May 18th 2018,Lucknow,Lucknow,Mumbai,rejected takeoff due to engine fault,Incident,"May 18, 2018","An Indigo Airbus A320-200, registration VT-IEI performing flight 6E-685 from Lucknow to Mumbai (India), was accelerating for takeoff when the crew…"
"Indigo A320 near Bhubaneswar on Apr 27th 2017, first officer incapacitated",A320,VT-IAR,6E-725,Apr 27th 2017,Bhubaneswar,Kolkata,Hyderabad,first officer incapacitated,Incident,"May 18, 2018","An Indigo Airbus A320-200, registration VT-IAR performing flight 6E-725 from Kolkata to Hyderabad (India) with 180 passengers and 6 crew, was enroute…"
"Indigo A320 near Mumbai on May 2nd 2018, cargo smoke indication",A320,VT-IHG,6E-61,May 2nd 2018,Mumbai,Mumbai,Dubai,cargo smoke indication,Incident,"May 3, 2018","An Indigo Airbus A320-200, registration VT-IHG performing flight 6E-61 from Mumbai (India) to Dubai (United Arab Emirates) with 178 passengers and 6…"
"Indigo AT72 at Hyderabad on Mar 28th 2018, burst tyres on landing",AT72,VT-IYD,6E-7117,Mar 28th 2018,Hyderabad,Tirupati,Hyderabad,burst tyres on landing,Incident,"Apr 12, 2018","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IYD performing flight 6E-7117 from Tirupati to Hyderabad (India) with 73…"
"Indigo AT72 at Vijayawada on Mar 28th 2018, tail scrape on landing",AT72,VT-IYA,6E-7204,Mar 28th 2018,Vijayawada,Bangalore,Vijayawada,tail scrape on landing,Incident,"Mar 29, 2018","An Indigo Avions de Transport Regional ATR-72-212A, registration VT-IYA performing flight 6E-7204 from Bangalore to Vijayawada (India), landed on…"
"Indigo A20N at Delhi on Mar 24th 2018, engine magnetic chip detector indication after landing",A20N,VT-ITK,6E-706,Mar 24th 2018,Delhi,Kochi,Delhi,engine magnetic chip detector indication after landing,Incident,"Mar 26, 2018","An Indigo Airbus A320-200N, registration VT-ITK performing flight 6E-706 from Kochi to Delhi (India), touched down on Delhi's runway 27 and rolled…"
"Indigo A20N at Delhi on Mar 18th 2018, engine problem",A20N,VT-ITX,6E-132,Mar 18th 2018,Delhi,Bangalore,Delhi,engine problem,Incident,"Mar 19, 2018","An Indigo Airbus A320-200N, registration VT-ITX performing flight 6E-132 from Bangalore to Delhi (India), concluded a seemingly uneventful flight…"
